step,loss
1,1.089800
2,1.094873
3,1.096684
4,1.095836
5,1.100050
6,1.096976
7,1.093014
8,1.093403
9,1.094548
10,1.092269
11,1.087704
12,1.087189
13,1.089087
14,1.094431
15,1.091129
16,1.086361
17,1.086604
18,1.089424
19,1.089186
20,1.082284
21,1.085303
22,1.085026
23,1.085855
24,1.086759
25,1.084412
26,1.084264
27,1.081285
28,1.081058
29,1.079018
30,1.079877
31,1.079588
32,1.077537
33,1.074391
34,1.075196
35,1.071787
36,1.072588
37,1.070849
38,1.070474
39,1.066266
40,1.067678
41,1.058659
42,1.064373
43,1.061448
44,1.052393
45,1.061310
46,1.050282
47,1.042942
48,1.046313
49,1.060029
50,1.048427
51,1.051697
52,1.046257
53,1.014016
54,1.024315
55,1.048233
56,1.039064
57,1.019947
58,1.036637
59,1.024745
60,1.014515
61,0.984838
62,0.981248
63,1.006371
64,0.960147
65,1.005967
66,0.980488
67,0.936307
68,0.977705
69,0.953115
70,0.968094
71,0.969529
72,0.958492
73,1.037984
74,0.900044
75,0.948590
76,0.912779
77,0.897542
78,0.949365
79,0.961204
80,0.909358
81,0.953144
82,1.026456
83,0.952436
84,0.857799
85,0.787193
86,1.035937
87,0.832127
88,1.081881
89,0.860617
90,1.037107
91,0.942413
92,0.795329
93,0.932101
94,0.984744
95,0.775671
96,0.888518
97,0.733375
98,0.851882
99,0.692121
100,0.890783
101,0.623038
102,0.903257
103,0.954117
104,1.124564
105,0.844905
106,0.858833
107,1.052737
108,1.013973
109,0.954401
110,0.760583
111,0.693167
112,0.886143
113,0.802901
114,0.805218
115,0.906622
116,0.828859
117,1.007356
118,0.742975
119,0.747326
120,0.847455
121,0.788030
122,0.934309
123,0.926233
124,0.770688
125,0.926672
126,0.822705
127,0.738089
128,0.667134
129,0.963411
130,0.873543
131,0.650805
132,0.825428
133,0.869389
134,0.947346
135,0.833038
136,0.793817
137,0.814675
138,0.841728
139,0.762850
140,0.900398
141,0.949087
142,0.773269
143,0.727255
144,0.765996
145,0.782041
146,0.618186
147,0.885765
148,0.805118
149,1.207707
150,0.741150
151,0.871796
152,0.756521
153,0.798980
154,0.885133
155,0.894095
156,0.898449
157,0.727593
158,0.758217
159,0.666893
160,0.747409
161,0.955744
162,1.009444
163,0.896261
164,0.974320
165,0.853208
166,0.759111
167,0.754791
168,0.922650
169,0.923396
170,0.620349
171,0.869127
172,0.658842
173,0.903611
174,0.865376
175,0.771375
176,0.654930
177,0.738964
178,0.646979
179,1.036815
180,0.756303
181,0.843591
182,0.763721
183,0.741920
184,0.969610
185,0.725384
186,0.625736
187,0.793421
188,0.844130
189,0.691245
190,0.774283
191,1.314670
192,1.001013
193,0.691469
194,0.834870
195,0.678553
196,0.688459
197,0.962484
198,0.947595
199,0.773085
200,0.866592
201,0.827435
202,0.745907
203,0.702475
204,0.733370
205,1.050368
206,1.223373
207,0.775429
208,0.698944
209,0.798693
210,0.848036
211,0.912195
212,0.762320
213,0.876635
214,0.901675
215,0.824915
216,0.712849
217,0.639902
218,0.938842
219,1.062441
220,1.221626
221,0.760685
222,0.701701
223,0.832615
224,0.834207
225,0.749682
226,0.683002
227,0.735063
228,0.852518
229,0.865165
230,0.636722
231,0.801952
232,0.871701
233,0.995637
234,0.901693
235,0.729494
236,0.810279
237,0.666588
238,0.862763
239,0.600360
240,0.802789
241,0.925156
242,0.883362
243,0.862880
244,0.974573
245,0.934088
246,0.693153
247,0.707440
248,0.887167
249,0.601445
250,0.826908
251,0.962859
252,0.875856
253,1.001460
254,0.681632
255,0.697555
256,0.720499
257,0.850193
258,0.859607
259,0.772940
260,0.632822
261,0.933645
262,0.731064
263,0.871004
264,0.723446
265,0.899110
266,0.624519
267,0.675303
268,0.606354
269,1.011501
270,0.685922
271,0.767249
272,1.147196
273,0.822356
274,0.890788
275,0.746311
276,0.943025
277,0.631235
278,0.784100
279,0.791985
280,0.852953
281,0.852864
282,1.050854
283,0.825924
284,0.925959
285,0.938100
286,0.861326
287,0.692692
288,0.744957
289,0.720877
290,0.890958
291,0.889445
292,0.798182
293,0.825928
294,0.752656
295,0.890308
296,0.668239
297,0.758917
298,0.849849
299,0.722094
300,0.753947
301,0.677302
302,0.764294
303,0.703956
304,0.711405
305,1.216907
306,0.880756
307,1.049790
308,0.823892
309,0.904408
310,0.751784
311,0.876979
312,0.768717
313,0.717384
314,0.922074
315,0.834220
316,0.743588
317,0.583315
318,0.923058
319,0.845194
320,0.764979
321,0.733486
322,0.797710
323,0.855243
324,0.702054
325,0.870091
326,1.114545
327,0.830979
328,0.762146
329,0.695942
330,0.785715
331,0.730914
332,0.919945
333,0.752342
334,0.949110
335,0.723619
336,0.735147
337,0.584036
338,0.830027
339,0.826621
340,0.814846
341,0.747214
342,0.745081
343,0.700743
344,0.801077
345,0.672535
346,0.719166
347,0.627762
348,0.494235
349,1.036375
350,0.843610
351,0.986135
352,0.609730
353,0.846213
354,0.807647
355,0.887077
356,0.756795
357,0.779124
358,0.952241
359,0.698306
360,0.836359
361,0.690429
362,0.926914
363,0.747414
364,0.949614
365,0.750300
366,0.735705
367,0.803779
368,0.616199
369,0.729145
370,0.850293
371,0.729980
372,0.750013
373,0.930903
374,0.699935
375,0.957204
376,0.722880
377,0.750388
378,0.810014
379,0.854735
380,0.783801
381,0.685178
382,0.780313
383,0.759561
384,0.755427
385,0.707887
386,0.831481
387,0.786836
388,0.707225
389,0.707397
390,0.798821
391,0.790748
392,0.642004
393,0.743832
394,1.032612
395,0.650588
396,0.807158
397,0.836772
398,0.860870
399,0.594042
400,1.084721
401,0.592813
402,0.732149
403,0.614576
404,0.935376
405,1.027143
406,0.815570
407,1.017941
408,0.710709
409,0.736370
410,0.767393
411,0.699277
412,0.826897
413,0.904211
414,0.842483
415,0.824423
416,0.983960
417,0.868998
418,0.810586
419,0.628057
420,0.823825
421,0.695642
422,1.055865
423,0.708644
424,0.783053
425,0.738468
426,0.903186
427,0.549226
428,0.698920
429,0.748307
430,0.823761
431,0.636215
432,0.974342
433,0.951890
434,0.765906
435,0.962797
436,0.786222
437,0.835186
438,0.692595
439,0.816968
440,0.997064
441,0.533920
442,0.979121
443,0.986155
444,0.761600
445,0.635295
446,1.114166
447,0.863379
448,0.978222
449,0.814790
450,0.887443
451,0.663749
452,0.834310
453,0.753314
454,0.596704
455,0.656193
456,0.728990
457,0.900826
458,0.880418
459,0.532887
460,0.777740
461,0.730240
462,0.706193
463,0.806120
464,0.932417
465,0.758929
466,0.577859
467,1.140623
468,0.784941
469,0.973437
470,0.752379
471,0.805889
472,1.053977
473,0.808899
474,0.851625
475,0.731267
476,0.713952
477,0.810459
478,0.857080
479,0.571623
480,0.800170
481,0.795687
482,0.803196
483,0.728437
484,0.693577
485,0.641549
486,0.709945
487,0.527571
488,0.851998
489,0.822288
490,0.777747
491,0.910689
492,0.603005
493,0.874691
494,0.910218
495,0.636650
496,0.849499
497,0.932849
498,0.864047
499,0.709676
500,0.682815
501,0.831740
502,0.672303
503,0.841179
504,0.668043
505,0.581115
506,0.528186
507,0.901268
508,0.968596
509,0.823121
510,0.851373
511,0.703691
512,1.041695
513,0.862709
514,0.806781
515,0.786049
516,0.818293
517,0.817999
518,1.135831
519,0.758469
520,0.719055
521,0.728597
522,0.674582
523,0.836489
524,0.720872
525,0.742769
526,0.929842
527,0.748044
528,0.764014
529,0.742291
530,0.704936
531,0.893869
532,0.712406
533,0.858174
534,0.924208
535,0.786846
536,0.807315
537,0.860617
538,0.807989
539,0.924396
540,0.884520
541,0.733281
542,0.638894
543,0.849299
544,0.868959
545,0.857697
546,0.638480
547,0.962077
548,0.700854
549,0.766700
550,0.698346
551,0.711104
552,0.709256
553,0.739765
554,0.971272
555,0.804614
556,0.750650
557,0.999014
558,0.644049
559,0.845517
560,0.927753
561,0.639944
562,0.715044
563,0.673847
564,0.707512
565,0.905598
566,0.845203
567,0.694160
568,0.858714
569,0.734150
570,0.566760
571,0.632684
572,0.816254
573,0.864897
574,0.804221
575,0.760498
576,0.579358
577,0.645400
578,0.891530
579,0.801995
580,0.802410
581,0.691761
582,0.769677
583,0.631800
584,0.802177
585,0.573428
586,0.731976
587,0.861029
588,0.762814
589,0.575745
590,0.864695
591,0.547344
592,0.648576
593,0.915544
594,0.902159
595,0.806260
596,0.702017
597,0.844218
598,0.874756
599,0.754629
600,0.575515
601,0.645309
602,0.983862
603,0.622642
604,0.938833
605,0.538606
606,0.718057
607,0.720407
608,0.630070
609,0.769648
610,0.651484
611,0.784010
612,0.753290
613,1.016080
614,0.715266
615,0.742596
616,0.941956
617,0.892243
618,0.819970
619,0.822026
620,0.722238
621,0.786400
622,0.649485
623,0.723084
624,0.792240
625,0.784817
626,0.891857
627,0.515576
628,0.791114
629,0.764729
630,0.694627
631,0.635631
632,0.789730
633,0.649121
634,0.813635
635,0.967173
636,0.588645
637,1.109335
638,0.632517
639,0.786584
640,0.536776
641,0.695972
642,0.785636
643,0.814314
644,0.767154
645,0.820834
646,0.957566
647,0.779768
648,0.677483
649,0.849796
650,0.718958
651,0.772678
652,0.585324
653,1.155043
654,0.776732
655,0.653076
656,0.668554
657,0.724907
658,0.796083
659,0.666290
660,0.799950
661,0.815120
662,0.735150
663,0.552697
664,0.745007
665,0.806680
666,0.560769
667,0.811822
668,0.704363
669,1.079695
670,0.659630
671,0.601513
672,0.809879
673,0.614247
674,1.008073
675,0.810573
676,0.797076
677,0.736111
678,0.540210
679,0.778484
680,0.818231
681,0.637711
682,0.624388
683,0.906728
684,0.667677
685,0.776432
686,0.790003
687,0.817232
688,0.824057
689,0.705097
690,0.939573
691,0.715676
692,0.593990
693,0.643672
694,0.738207
695,0.626465
696,0.652640
697,0.719671
698,0.989184
699,0.686229
700,0.737431
701,0.884752
702,0.699277
703,0.584796
704,0.690686
705,0.597837
706,0.728444
707,0.775497
708,0.612773
709,0.890210
710,0.605364
711,0.737863
712,0.746971
713,0.771269
714,0.840514
715,0.607423
716,0.612730
717,0.673025
718,0.757576
719,0.644956
720,0.675602
721,0.817878
722,0.770696
723,0.655637
724,0.581951
725,0.549254
726,0.783439
727,0.810451
728,0.565183
729,0.703537
730,0.927667
731,0.618208
732,0.906664
733,0.619339
734,0.563895
735,0.970809
736,0.850488
737,0.782815
738,0.650229
739,0.689340
740,0.687050
741,0.799928
742,0.689415
743,0.700408
744,0.625117
745,0.529297
746,0.759197
747,0.625426
748,0.757752
749,0.812863
750,0.769482
751,0.652782
752,0.632603
753,0.895112
754,0.621786
755,0.740871
756,0.776484
757,0.577932
758,0.767958
759,0.601038
760,0.641830
761,0.749698
762,0.742621
763,0.768095
764,0.909646
765,0.717485
766,0.675095
767,0.559447
768,0.755207
769,0.558939
770,0.717399
771,0.818061
772,0.748646
773,0.668366
774,0.649127
775,0.663371
776,0.699832
777,0.687633
778,0.765594
779,0.805010
780,0.633703
781,0.899311
782,0.745986
783,0.744790
784,0.643068
785,0.625788
786,0.710384
787,0.835495
788,0.720568
789,0.620491
790,0.546805
791,0.662061
792,0.686460
793,0.700997
794,0.723627
795,0.644135
796,0.842467
797,0.519800
798,0.812034
799,0.703959
800,0.653959
801,0.635666
802,0.489861
803,0.690275
804,0.700920
805,0.702996
806,0.665039
807,0.646312
808,0.835747
809,0.840837
810,0.553960
811,0.566284
812,0.555655
813,0.908119
814,0.741970
815,0.775535
816,1.426579
817,0.794602
818,0.733810
819,0.568837
820,0.665647
821,0.819605
822,0.593076
823,0.552357
824,0.864097
825,0.538028
826,0.503555
827,0.511790
828,0.524165
829,0.781574
830,0.733302
831,0.739567
832,0.497470
833,0.980524
834,0.699082
835,0.685870
836,0.572762
837,0.667051
838,0.525768
839,0.656848
840,0.763303
841,0.842764
842,0.646243
843,0.589654
844,0.673893
845,0.837266
846,0.546265
847,0.780738
848,0.501018
849,0.657463
850,0.768587
851,0.730462
852,0.615269
853,0.646896
854,0.681483
855,0.681766
856,0.536348
857,0.667836
858,0.836153
859,0.795314
860,1.093296
861,1.042277
862,0.662426
863,0.619659
864,0.577248
865,0.592065
866,0.706410
867,0.919101
868,0.950273
869,0.887540
870,0.949519
871,0.783771
872,0.689066
873,0.545136
874,0.631542
875,0.619822
876,0.583199
877,0.649025
878,0.641481
879,0.615896
880,0.665273
881,0.562825
882,0.683468
883,0.699074
884,0.748725
885,0.649887
886,0.625846
887,0.532029
888,0.673800
889,0.523771
890,0.570358
891,0.590184
892,0.567093
893,0.790649
894,0.688379
895,0.579043
896,0.672509
897,0.746272
898,0.684206
899,1.045677
900,0.758881
901,0.746009
902,0.633996
903,0.789905
904,1.012978
905,0.819412
906,0.738808
907,0.711884
908,0.727011
909,0.719571
910,0.790978
911,0.835235
912,0.848019
913,0.854939
914,0.838196
915,0.722863
916,0.856107
917,0.879155
918,0.649925
919,0.728719
920,0.560182
921,0.735897
922,0.603883
923,0.687498
924,0.665778
925,0.764992
926,0.850394
927,0.671075
928,0.843606
929,0.639652
930,0.800393
931,0.631856
932,0.715695
933,0.521322
934,0.575513
935,0.533759
936,0.763533
937,0.633369
938,0.527694
939,0.644821
940,0.574675
941,0.558138
942,0.675540
943,0.690766
944,0.665141
945,1.053523
946,0.681695
947,0.814840
948,0.807196
949,0.555269
950,0.560725
951,0.909105
952,0.874752
953,0.578188
954,0.892366
955,0.828149
956,0.500338
957,0.649422
958,0.748888
959,0.656193
960,0.761066
961,0.674302
962,0.856740
963,0.741932
964,0.812128
965,0.676352
966,0.874639
967,0.612694
968,0.704895
969,0.844877
970,0.778457
971,0.722686
972,0.653997
973,0.797388
974,0.576059
975,0.647534
976,0.709895
977,0.709841
978,0.620370
979,0.496368
980,0.722304
981,0.793191
982,0.926948
983,0.530344
984,0.829119
985,0.519565
986,0.674654
987,0.944876
988,0.649020
989,0.599200
990,0.595717
991,0.721796
992,0.794349
993,0.640369
994,0.619736
995,0.518695
996,0.559381
997,0.741505
998,0.572863
999,0.674684
1000,0.615968
1001,1.121029
1002,0.756292
1003,0.774681
1004,0.539334
1005,0.540909
1006,0.591118
1007,0.596197
1008,0.704847
1009,0.567714
1010,0.838740
1011,0.664887
1012,0.590405
1013,0.772643
1014,0.869505
1015,0.410461
1016,0.611075
1017,0.673174
1018,0.731257
1019,0.824613
1020,0.975684
1021,0.677134
1022,0.551467
1023,0.583104
1024,0.438789
1025,0.590357
1026,0.818567
1027,0.667611
1028,0.712990
1029,0.635508
1030,0.493754
1031,0.689332
1032,0.865352
1033,0.809510
1034,0.645231
1035,0.600886
1036,0.807908
1037,0.607046
1038,0.546100
1039,0.840314
1040,0.521120
1041,0.720354
1042,0.711770
1043,0.605153
1044,0.743029
1045,0.623912
1046,0.577203
1047,1.047394
1048,0.633534
1049,0.628043
1050,0.709868
1051,0.658079
1052,0.674071
1053,0.622817
1054,0.807570
1055,0.781158
1056,0.667456
1057,0.653571
1058,0.691143
1059,0.594315
1060,0.774022
1061,0.737474
1062,0.590300
1063,0.593632
1064,0.550391
1065,0.694396
1066,0.555083
1067,0.607740
1068,1.090423
1069,0.730464
1070,0.906609
1071,0.810135
1072,0.888040
1073,0.866980
1074,0.680942
1075,0.819802
1076,0.747915
1077,0.619530
1078,0.719955
1079,0.645449
1080,0.792737
1081,0.750182
1082,0.695857
1083,0.689213
1084,0.780643
1085,0.613752
1086,0.727158
1087,0.655449
1088,0.586170
