step,loss
1,0.670411
2,0.682514
3,0.667625
4,0.671652
5,0.669393
6,0.683018
7,0.669236
8,0.678917
9,0.680722
10,0.669184
11,0.673141
12,0.671187
13,0.684433
14,0.682330
15,0.670880
16,0.675847
17,0.676109
18,0.671147
19,0.668586
20,0.669519
21,0.681142
22,0.674311
23,0.672954
24,0.674552
25,0.682940
26,0.660928
27,0.675018
28,0.665252
29,0.676056
30,0.668773
31,0.671901
32,0.667191
33,0.675328
34,0.664142
35,0.675011
36,0.672417
37,0.675487
38,0.673070
39,0.681043
40,0.665140
41,0.686407
42,0.675141
43,0.676464
44,0.659609
45,0.657082
46,0.677707
47,0.666682
48,0.665286
49,0.674861
50,0.668585
51,0.668815
52,0.664323
53,0.677748
54,0.658378
55,0.682371
56,0.689924
57,0.666584
58,0.659057
59,0.666831
60,0.677181
61,0.670663
62,0.667162
63,0.662810
64,0.663879
65,0.664421
66,0.668200
67,0.666695
68,0.660042
69,0.675511
70,0.661813
71,0.681399
72,0.662615
73,0.659005
74,0.673576
75,0.668207
76,0.663463
77,0.654826
78,0.668483
79,0.660404
80,0.652024
81,0.666216
82,0.673132
83,0.659865
84,0.664372
85,0.653576
86,0.648895
87,0.667665
88,0.671996
89,0.678188
90,0.678930
91,0.662808
92,0.666456
93,0.669133
94,0.659950
95,0.659647
96,0.646837
97,0.687324
98,0.646679
99,0.688241
100,0.658843
101,0.664408
102,0.663873
103,0.651068
104,0.665467
105,0.660514
106,0.649141
107,0.654579
108,0.685404
109,0.659004
110,0.662830
111,0.667819
112,0.670773
113,0.663850
114,0.644433
115,0.687333
116,0.651774
117,0.664509
118,0.665355
119,0.649562
120,0.643773
121,0.667460
122,0.674698
123,0.662163
124,0.659617
125,0.659162
126,0.651982
127,0.649236
128,0.640655
129,0.637156
130,0.645019
131,0.636929
132,0.657094
133,0.657387
134,0.645727
135,0.665446
136,0.647041
137,0.653607
138,0.630639
139,0.634934
140,0.627116
141,0.625994
142,0.675095
143,0.636665
144,0.649458
145,0.638981
146,0.626413
147,0.646044
148,0.615554
149,0.642658
150,0.656136
151,0.633269
152,0.642462
153,0.630284
154,0.624945
155,0.658658
156,0.661634
157,0.646143
158,0.634139
159,0.649117
160,0.651858
161,0.658333
162,0.659182
163,0.605190
164,0.637851
165,0.638780
166,0.606847
167,0.619175
168,0.630517
169,0.626052
170,0.625390
171,0.627962
172,0.645372
173,0.662570
174,0.642769
175,0.655274
176,0.600884
177,0.601889
178,0.653168
179,0.602051
180,0.651967
181,0.597421
182,0.603106
183,0.644503
184,0.634428
185,0.663188
186,0.604363
187,0.623383
188,0.654059
189,0.630688
190,0.614487
191,0.625007
192,0.636825
193,0.610061
194,0.614944
195,0.585894
196,0.568726
197,0.599061
198,0.626285
199,0.597859
200,0.629603
201,0.590156
202,0.621039
203,0.593090
204,0.593324
205,0.596336
206,0.654904
207,0.611115
208,0.597736
209,0.665280
210,0.651915
211,0.608891
212,0.694165
213,0.580425
214,0.575519
215,0.575815
216,0.619815
217,0.677533
218,0.624044
219,0.575902
220,0.667129
221,0.580015
222,0.637200
223,0.605120
224,0.663156
225,0.636130
226,0.590195
227,0.612056
228,0.593696
229,0.631985
230,0.574046
231,0.572989
232,0.626372
233,0.623343
234,0.679280
235,0.563829
236,0.611845
237,0.538027
238,0.554789
239,0.615586
240,0.534373
241,0.564483
242,0.638929
243,0.582043
244,0.685799
245,0.564207
246,0.554166
247,0.626154
248,0.575904
249,0.523923
250,0.610987
251,0.541603
252,0.624214
253,0.590141
254,0.566512
255,0.512205
256,0.568184
257,0.520156
258,0.563267
259,0.503377
260,0.496281
261,0.541197
262,0.559048
263,0.641698
264,0.543722
265,0.502196
266,0.565344
267,0.522646
268,0.571523
269,0.519707
270,0.552669
271,0.512491
272,0.521530
273,0.485593
274,0.502027
275,0.581456
276,0.596573
277,0.505900
278,0.448872
279,0.542045
280,0.474343
281,0.514959
282,0.529332
283,0.491851
284,0.609947
285,0.471817
286,0.637590
287,0.504281
288,0.461283
289,0.608278
290,0.441905
291,0.516477
292,0.628382
293,0.519010
294,0.616075
295,0.761342
296,0.476790
297,0.478327
298,0.522732
299,0.496834
300,0.496422
301,0.552017
302,0.737641
303,0.522202
304,0.417799
305,0.662437
306,0.483010
307,0.570021
308,0.573059
309,0.510952
310,0.522939
311,0.725407
312,0.453869
313,0.644519
314,0.397027
315,0.424602
316,0.590095
317,0.554069
318,0.575063
319,0.546837
320,0.394739
321,0.386488
322,0.478186
323,0.654526
324,0.589384
325,0.581378
326,0.568965
327,0.662151
328,0.549877
329,0.790576
330,0.665903
331,0.460715
332,0.459643
333,0.591162
334,0.488519
335,0.576885
336,0.420279
337,0.554556
338,0.431737
339,0.488661
340,0.442130
341,0.890189
342,0.526314
343,0.503636
344,0.665622
345,0.608028
346,0.372383
347,0.590428
348,0.345837
349,0.823442
350,0.300985
351,0.464701
352,0.816434
353,0.531334
354,0.339000
355,0.500805
356,0.434731
357,0.542401
358,0.442691
359,0.524725
360,0.528388
361,0.411760
362,0.544182
363,0.648653
364,1.017384
365,0.375824
366,0.664155
367,0.423382
368,0.394054
369,0.653918
370,0.533617
371,0.540978
372,0.647541
373,0.628494
374,0.544511
375,0.558696
376,0.543961
377,0.389555
378,0.764017
379,0.604498
380,0.424519
381,0.427508
382,0.428179
383,0.552600
384,0.528071
385,0.463236
386,0.607024
387,0.348436
388,0.489145
389,0.415543
390,0.539406
391,0.547244
392,0.440028
393,0.422528
394,0.508909
395,0.692815
396,0.581546
397,0.602626
398,0.576261
399,0.408428
400,0.453157
401,0.496185
402,0.666936
403,0.434764
404,0.754966
405,0.466901
406,0.580019
407,0.487713
408,0.438465
409,0.526847
410,0.632255
411,0.485915
412,0.616327
413,0.674950
414,0.549937
415,0.394901
416,0.598498
417,0.845898
418,0.597069
419,0.399185
420,0.519343
421,0.418693
422,0.554858
423,0.436672
424,0.488374
425,0.935284
426,0.472437
427,0.448368
428,0.599099
429,0.556567
430,0.540144
431,0.531632
432,0.573083
433,0.517509
434,0.528970
435,0.532181
436,0.379699
437,0.466177
438,0.679146
439,0.386876
440,0.571016
441,0.734962
442,0.435145
443,0.523421
444,0.657347
445,0.456219
446,0.367111
447,0.718553
448,0.370630
449,0.791259
450,0.467668
451,0.684192
452,0.489121
453,0.528358
454,0.609558
455,0.427666
456,0.639571
457,0.529689
458,0.783991
459,0.390763
460,0.442035
461,0.586037
462,0.467169
463,0.413842
464,0.651127
465,0.652514
466,0.396675
467,0.392920
468,0.439067
469,0.675322
470,0.425992
471,0.647660
472,0.450504
473,0.637154
474,0.495886
475,0.394505
476,0.495323
477,0.441110
478,0.469727
479,0.454551
480,0.665010
481,0.384368
482,0.494570
483,0.539737
484,0.544590
485,0.569861
486,0.484778
487,0.773689
488,0.607084
489,0.704567
490,0.516094
491,0.362930
492,0.587762
493,0.566054
494,0.602837
495,0.535995
496,0.468149
497,0.508751
498,0.533305
499,0.378457
500,0.475013
501,0.506729
502,0.632757
503,0.649340
504,0.476295
505,0.407455
506,0.606898
507,0.468631
508,0.491950
509,0.614180
510,0.436735
511,0.611188
512,0.462665
513,0.785193
514,0.628142
515,0.738364
516,0.504246
517,0.391592
518,0.607437
519,0.446250
520,0.436066
521,0.349683
522,0.392737
523,0.484645
524,0.769734
525,0.507960
526,0.501567
527,0.497439
528,0.354959
529,0.526520
530,0.468686
531,0.638638
532,0.545895
533,0.629447
534,0.474283
535,0.663459
536,0.671020
537,0.620892
538,0.505110
539,0.808120
540,0.442185
541,0.757777
542,0.729799
543,0.698403
544,0.675017
545,0.481517
546,0.683269
547,0.423019
548,0.610759
549,0.432485
550,0.384347
551,0.311293
552,0.452415
553,0.478064
554,0.508442
555,0.573665
556,0.502476
557,0.537962
558,0.727242
559,0.479419
560,0.486584
561,0.625688
562,0.485642
563,0.644560
564,0.409187
565,0.496261
566,0.449407
567,0.480455
568,0.755403
569,0.706285
570,0.664369
571,0.399393
572,0.650575
573,0.680880
574,0.716317
575,0.477334
576,0.396519
577,0.623409
578,0.539545
579,0.422021
580,0.381865
581,0.454555
582,0.647723
583,0.562998
584,0.445665
585,0.433295
586,0.444011
587,0.705293
588,0.724011
589,0.440805
590,0.337320
591,0.703797
592,0.554515
593,0.537301
594,0.346815
595,0.436663
596,0.494353
597,0.535287
598,0.421057
599,0.396315
600,0.424568
601,0.568555
602,0.559588
603,0.513225
604,0.606917
