step,loss
1,0.710574
2,0.703132
3,0.709864
4,0.702629
5,0.702519
6,0.704034
7,0.706232
8,0.708308
9,0.708620
10,0.709538
11,0.700929
12,0.703461
13,0.702980
14,0.701271
15,0.696434
16,0.700871
17,0.702873
18,0.702809
19,0.702001
20,0.700523
21,0.698505
22,0.697587
23,0.699823
24,0.700343
25,0.697260
26,0.695784
27,0.696670
28,0.695738
29,0.693923
30,0.694744
31,0.692981
32,0.693428
33,0.690575
34,0.691646
35,0.687291
36,0.690240
37,0.685173
38,0.687681
39,0.688241
40,0.683371
41,0.678074
42,0.681155
43,0.677593
44,0.669179
45,0.664089
46,0.670019
47,0.669853
48,0.667159
49,0.671143
50,0.658889
51,0.654597
52,0.670433
53,0.631959
54,0.665343
55,0.657457
56,0.647052
57,0.637366
58,0.629004
59,0.607791
60,0.649565
61,0.603485
62,0.646325
63,0.625426
64,0.595880
65,0.608943
66,0.584904
67,0.604186
68,0.642649
69,0.641421
70,0.593654
71,0.569510
72,0.617233
73,0.581235
74,0.585994
75,0.470244
76,0.564540
77,0.432900
78,0.537556
79,0.458887
80,0.596727
81,0.668821
82,0.505404
83,0.571853
84,0.363124
85,0.589135
86,0.568066
87,0.519397
88,0.696743
89,0.544042
90,0.618696
91,0.583315
92,0.461767
93,0.517911
94,0.438566
95,0.571892
96,0.668597
97,0.513882
98,0.549057
99,0.496728
100,0.543558
101,0.511839
102,0.425741
103,0.551492
104,0.486252
105,0.548447
106,0.615661
107,0.594539
108,0.537184
109,0.489397
110,0.502367
111,0.551519
112,0.475797
113,0.547956
114,0.620664
115,0.505374
116,0.511622
117,0.596478
118,0.504997
119,0.516927
120,0.557472
121,0.521461
122,0.570134
123,0.664071
124,0.513245
125,0.591963
126,0.540225
127,0.425970
128,0.638986
129,0.439485
130,0.546872
131,0.442870
132,0.792785
133,0.532831
134,0.515970
135,0.534497
136,0.559690
137,0.599139
138,0.542772
139,0.506275
140,0.559074
141,0.606580
142,0.572358
143,0.622747
144,0.535807
145,0.509260
146,0.490290
147,0.551853
148,0.430306
149,0.537269
150,0.617951
151,0.477244
152,0.503710
153,0.788243
154,0.491962
155,0.548509
156,0.414665
157,0.740112
158,0.553807
159,0.487858
160,0.677030
