step,loss
1,0.878932
2,0.875329
3,0.877669
4,0.875836
5,0.873460
6,0.876009
7,0.875384
8,0.874202
9,0.872613
10,0.874857
11,0.871681
12,0.875097
13,0.873909
14,0.872334
15,0.870930
16,0.871442
17,0.870172
18,0.871118
19,0.867254
20,0.869144
21,0.869374
22,0.869355
23,0.868491
24,0.867726
25,0.867299
26,0.867111
27,0.865840
28,0.866414
29,0.864846
30,0.864545
31,0.863329
32,0.863751
33,0.861110
34,0.861878
35,0.860804
36,0.861366
37,0.856947
38,0.860239
39,0.859537
40,0.857564
41,0.849895
42,0.853210
43,0.848353
44,0.848036
45,0.851333
46,0.848805
47,0.849362
48,0.846064
49,0.837874
50,0.840574
51,0.842987
52,0.837444
53,0.836732
54,0.850503
55,0.816397
56,0.821018
57,0.837680
58,0.847582
59,0.817680
60,0.811389
61,0.867713
62,0.818925
63,0.808640
64,0.801990
65,0.798193
66,0.786047
67,0.797361
68,0.783802
69,0.784108
70,0.834915
71,0.739394
72,0.798840
73,0.784506
74,0.860603
75,0.750070
76,0.672012
77,0.748728
78,0.710493
79,0.702274
80,0.775063
81,0.728131
82,0.667311
83,0.800024
84,0.715071
85,0.632079
86,0.731665
87,0.590887
88,0.719317
89,0.831456
90,0.814150
91,0.631509
92,0.720137
93,0.955047
94,0.714116
95,0.714495
96,0.644657
97,0.736348
98,0.725900
99,0.681152
100,0.760026
101,0.815180
102,0.506996
103,0.753738
104,0.724914
105,0.656006
106,0.605495
107,0.733800
108,0.604896
109,0.706636
110,0.678372
111,0.641642
112,0.635445
113,0.757616
114,0.714220
115,0.647954
116,0.665158
117,0.635290
118,0.736054
119,0.682284
120,0.685131
121,0.621595
122,0.529284
123,0.628752
124,0.727047
125,0.592452
126,0.621124
127,0.586671
128,0.492430
129,0.553530
130,0.584535
131,0.667066
132,0.579185
133,0.511102
134,0.645386
135,0.567551
136,0.811368
137,0.755533
138,0.697886
139,0.725762
140,0.893101
141,0.685139
142,0.842513
143,0.763776
144,0.910315
145,0.516005
146,0.846448
147,0.769417
148,0.562547
149,0.475594
150,0.853662
151,0.759297
152,0.802692
153,0.647177
154,0.672359
155,0.598907
156,0.567111
157,0.692325
158,0.579166
159,0.769216
160,0.754696
161,0.582474
162,0.694881
163,0.722167
164,0.686288
165,0.632837
166,0.677996
167,0.603122
168,0.628961
169,0.641299
170,0.700107
171,0.648994
172,0.656696
173,0.614866
174,0.580885
175,0.543932
176,0.751783
177,0.724611
178,0.770657
179,0.681288
180,0.665033
181,0.708630
182,0.580684
183,0.490938
184,0.543317
185,0.686417
186,0.670709
187,0.587757
188,0.702752
189,0.880080
190,0.716707
191,0.640144
192,0.694319
193,0.659228
194,0.873784
195,0.589286
196,0.675483
197,0.590951
198,0.823101
199,0.610849
200,0.782165
201,0.709300
202,0.719680
203,0.758079
204,0.628565
205,0.610240
206,0.741316
207,0.639107
208,0.757004
209,0.689206
210,0.682818
211,0.609639
212,0.569829
213,0.736840
214,0.700865
215,0.802157
216,0.737237
217,0.681885
218,0.681959
219,0.802707
