step,loss
1,1.016290
2,1.020075
3,1.021209
4,1.020471
5,1.023425
6,1.021132
7,1.017915
8,1.018263
9,1.018890
10,1.017225
11,1.013529
12,1.013404
13,1.014403
14,1.017995
15,1.015375
16,1.012468
17,1.012140
18,1.013807
19,1.013211
20,1.009230
21,1.010455
22,1.010595
23,1.010094
24,1.010694
25,1.008505
26,1.008445
27,1.007053
28,1.006167
29,1.003719
30,1.005356
31,1.003503
32,1.002330
33,0.999749
34,1.000695
35,0.997770
36,0.996774
37,0.995886
38,0.995748
39,0.991836
40,0.992546
41,0.983278
42,0.990993
43,0.987894
44,0.976890
45,0.987494
46,0.975179
47,0.967973
48,0.971775
49,0.987139
50,0.974421
51,0.979189
52,0.973185
53,0.939250
54,0.949877
55,0.975819
56,0.966027
57,0.946317
58,0.964246
59,0.952539
60,0.941458
61,0.911723
62,0.907733
63,0.933637
64,0.887695
65,0.933889
66,0.909055
67,0.864983
68,0.906047
69,0.881996
70,0.896979
71,0.898928
72,0.888161
73,0.966460
74,0.830959
75,0.879301
76,0.844373
77,0.829996
78,0.880418
79,0.892781
80,0.842203
81,0.885236
82,0.955890
83,0.885087
84,0.794843
85,0.728505
86,0.964263
87,0.772632
88,1.006993
89,0.799965
90,0.964389
91,0.876665
92,0.740553
93,0.867087
94,0.915511
95,0.724141
96,0.827768
97,0.685477
98,0.793091
99,0.647940
100,0.830286
101,0.585469
102,0.841795
103,0.889038
104,1.045427
105,0.789076
106,0.802672
107,0.980398
108,0.944727
109,0.890208
110,0.712198
111,0.649519
112,0.827862
113,0.750435
114,0.752766
115,0.846783
116,0.774710
117,0.940746
118,0.694045
119,0.698452
120,0.791496
121,0.736230
122,0.872630
123,0.864850
124,0.719990
125,0.865669
126,0.768363
127,0.688646
128,0.621599
129,0.900461
130,0.816051
131,0.607049
132,0.770810
133,0.812185
134,0.885743
135,0.778653
136,0.741621
137,0.761132
138,0.786235
139,0.712596
140,0.842044
141,0.887637
142,0.721983
143,0.678707
144,0.715491
145,0.730172
146,0.576844
147,0.828367
148,0.752101
149,1.129709
150,0.692663
151,0.814522
152,0.706433
153,0.745914
154,0.827184
155,0.835287
156,0.839313
157,0.679685
158,0.707875
159,0.622987
160,0.698054
161,0.892359
162,0.943030
163,0.836868
164,0.909925
165,0.797008
166,0.709696
167,0.705810
168,0.861163
169,0.862366
170,0.580712
171,0.812329
172,0.616819
173,0.843524
174,0.808327
175,0.721182
176,0.613528
177,0.691026
178,0.606021
179,0.965852
180,0.707401
181,0.788279
182,0.713816
183,0.693662
184,0.905199
185,0.678108
186,0.585395
187,0.741374
188,0.788841
189,0.645488
190,0.723324
191,1.229734
192,0.935340
193,0.645834
194,0.780867
195,0.634111
196,0.642769
197,0.899763
198,0.885912
199,0.722508
200,0.810127
201,0.773446
202,0.697689
203,0.655109
204,0.684362
205,0.984075
206,1.147160
207,0.724187
208,0.652085
209,0.746755
210,0.792758
211,0.852751
212,0.711993
213,0.819600
214,0.842568
215,0.770994
216,0.666174
217,0.598127
218,0.876631
219,0.992806
220,1.140514
221,0.711384
222,0.656656
223,0.778207
224,0.779749
