step,loss
1,0.880096
2,0.884139
3,0.874667
4,0.894977
5,0.878453
6,0.886793
7,0.873235
8,0.884222
9,0.878160
10,0.879925
11,0.874313
12,0.872112
13,0.880482
14,0.870626
15,0.872121
16,0.882434
17,0.878736
18,0.881235
19,0.878015
20,0.871870
21,0.870314
22,0.870801
23,0.868539
24,0.865214
25,0.869984
26,0.865893
27,0.885162
28,0.868332
29,0.868052
30,0.885469
31,0.871371
32,0.864728
33,0.860463
34,0.860385
35,0.873727
36,0.863222
37,0.870101
38,0.860495
39,0.861537
40,0.875886
41,0.869965
42,0.867066
43,0.857372
44,0.842991
45,0.866869
46,0.859868
47,0.855676
48,0.857377
49,0.861952
50,0.850127
51,0.851861
52,0.850895
53,0.839032
54,0.848715
55,0.843781
56,0.851332
57,0.839344
58,0.852892
59,0.840429
60,0.851363
61,0.858806
62,0.855632
63,0.827911
64,0.829694
65,0.820243
66,0.830559
67,0.828396
68,0.821889
69,0.823418
70,0.800854
71,0.817001
72,0.789067
73,0.847397
74,0.822632
75,0.823828
76,0.838665
77,0.838858
78,0.843541
79,0.804114
80,0.852732
81,0.809228
82,0.793455
83,0.856836
84,0.810216
85,0.842231
86,0.783929
87,0.778556
88,0.805178
89,0.749883
90,0.795554
91,0.845485
92,0.778473
93,0.840116
94,0.812917
95,0.748811
96,0.760321
97,0.721726
98,0.800116
99,0.747375
100,0.749714
101,0.861338
102,0.777744
103,0.715316
104,0.839708
105,0.712298
106,0.715500
107,0.682587
108,0.778964
109,0.721292
110,0.712639
111,0.726249
112,0.684989
113,0.609007
114,0.701410
115,0.707660
116,0.830820
117,0.712617
118,0.750189
119,0.759883
120,0.721858
121,0.737711
122,0.770875
123,0.685045
124,0.714476
125,0.703311
126,0.892168
127,0.696334
128,0.911165
129,0.686615
130,0.667644
131,0.634414
132,0.656731
133,0.806288
134,0.756534
135,0.642367
136,0.521319
137,0.959372
138,0.672132
139,0.689167
140,0.813845
141,0.851851
142,0.957473
143,0.572266
144,0.687822
145,0.600273
146,0.764423
147,0.619823
148,0.877486
149,0.765316
150,0.693775
151,0.593818
152,0.551957
153,0.565839
154,0.787277
155,0.629808
156,0.562261
157,0.790243
158,0.709662
159,0.776721
160,0.844072
161,0.615146
162,0.748399
163,0.702211
164,0.817033
165,0.656827
166,0.841202
167,0.682374
168,0.610154
169,0.729916
170,0.648210
171,0.692688
172,0.733123
173,0.598362
174,0.735887
175,0.863641
176,0.747174
177,0.727851
178,0.839798
179,0.714291
180,0.734718
181,0.595323
182,0.764676
183,0.796749
184,0.700721
185,0.613125
186,0.556242
187,0.556661
188,0.762132
189,0.532499
190,0.618012
191,0.956352
192,0.699539
193,0.738459
194,0.723613
195,0.772051
196,0.643640
197,0.699727
198,0.725831
199,0.664186
200,0.574778
201,0.715176
202,0.754554
203,0.656843
204,0.821607
205,0.676506
206,0.708513
207,0.654001
208,0.757976
209,0.771078
210,0.644461
211,0.667154
212,0.659375
213,0.614822
214,0.595720
215,0.808216
216,0.760875
217,0.678813
218,0.639233
219,0.838528
220,0.713524
221,0.740549
222,0.697316
223,0.598073
224,0.649373
