step,loss
1,0.856643
2,0.858054
3,0.849811
4,0.851896
5,0.854063
6,0.846218
7,0.851228
8,0.848006
9,0.845273
10,0.858157
11,0.853099
12,0.849343
13,0.853864
14,0.844743
15,0.859696
16,0.854712
17,0.846123
18,0.860962
19,0.844367
20,0.846629
21,0.847276
22,0.843777
23,0.850832
24,0.851125
25,0.847221
26,0.857732
27,0.844406
28,0.846605
29,0.842126
30,0.844612
31,0.842810
32,0.850850
33,0.834906
34,0.844458
35,0.835429
36,0.837550
37,0.836577
38,0.843362
39,0.849254
40,0.834955
41,0.853822
42,0.839034
43,0.840648
44,0.833190
45,0.841172
46,0.834983
47,0.823686
48,0.848054
49,0.845547
50,0.826779
51,0.834237
52,0.834522
53,0.823829
54,0.839700
55,0.837319
56,0.824389
57,0.839028
58,0.832548
59,0.807236
60,0.816509
61,0.809666
62,0.814175
63,0.826428
64,0.824261
65,0.816303
66,0.812793
67,0.821675
68,0.803283
69,0.802100
70,0.847691
71,0.794777
72,0.782608
73,0.774296
74,0.793584
75,0.818382
76,0.789255
77,0.773295
78,0.784063
79,0.790457
80,0.802622
81,0.820393
82,0.803504
83,0.778367
84,0.775501
85,0.730400
86,0.782914
87,0.738153
88,0.791792
89,0.723704
90,0.765103
91,0.711638
92,0.779578
93,0.894102
94,0.699310
95,0.813982
96,0.798019
97,0.751935
98,0.747822
99,0.651052
100,0.667820
101,0.719885
102,0.775398
103,0.667604
104,0.691516
105,0.675635
106,0.669910
107,0.682931
108,0.660032
109,0.742081
110,0.701034
111,0.765018
112,0.616352
113,0.695498
114,0.701465
115,0.703859
116,0.706690
117,0.596753
118,0.658271
119,0.767674
120,0.726129
121,0.566138
122,0.549725
123,0.678180
124,0.670633
125,0.579880
126,0.640100
127,0.601226
128,0.669625
129,0.752512
130,0.675792
131,0.839267
132,0.833380
133,0.875202
134,0.830020
135,0.465759
136,0.630893
137,0.610968
138,0.684994
139,0.717672
140,0.805800
141,0.669401
142,0.786066
143,0.599667
144,0.717465
145,0.763853
146,0.678316
147,0.841720
148,0.615076
149,0.744034
150,0.665624
151,0.605256
152,0.658876
153,0.637947
154,0.715701
155,0.914470
156,0.559855
157,0.622023
158,0.811580
159,0.644888
160,0.747117
161,0.855245
162,0.661600
163,0.846041
164,0.795123
165,0.755719
166,0.677588
167,0.708947
168,0.614509
169,0.699299
170,0.517058
171,0.827119
172,0.530107
173,0.825263
174,0.764296
175,0.588230
176,0.583358
177,0.625598
178,0.615144
179,0.594492
180,0.759164
181,0.832436
182,0.671562
183,0.580000
184,0.720081
185,0.727177
186,0.658153
187,0.640590
188,0.706585
189,0.742153
190,0.622661
191,0.676774
192,0.608359
193,0.605947
194,0.807804
195,0.550923
196,0.484145
197,0.622276
198,0.709196
199,0.548865
200,0.620067
201,0.695336
202,0.618655
203,0.713481
204,0.683279
205,0.834423
206,0.615560
207,0.636396
208,0.581989
209,0.623561
210,0.633632
211,0.591331
212,0.615038
213,0.672440
214,0.641893
215,0.665056
216,0.521869
217,0.686393
218,0.717325
219,0.623995
220,1.166992
221,0.719303
222,0.686467
223,0.767894
224,0.753128
225,0.583878
226,0.619993
227,0.559569
228,0.877096
229,0.701794
230,0.622782
231,0.784691
232,0.735280
233,0.542940
234,0.620040
235,0.703558
236,0.555037
237,0.668738
238,0.533394
239,0.644353
240,0.673988
241,0.586988
242,0.704456
243,0.768674
244,0.566033
245,0.556698
246,0.647216
247,0.607020
248,0.579496
249,0.917508
250,0.659665
251,0.584909
252,0.617208
253,0.663830
254,0.597726
255,0.787535
256,0.630275
257,0.617750
258,0.640683
259,0.497051
260,0.666007
261,0.832338
262,0.919848
263,0.699766
264,0.636436
265,0.808832
266,0.594883
267,0.799066
268,0.900256
269,0.565656
270,0.552211
271,0.591892
272,0.639907
273,0.770928
274,0.770708
275,0.681279
276,0.713650
277,0.695636
278,0.849118
279,0.636599
280,0.689046
281,0.588608
282,0.643757
283,0.664898
284,0.614967
285,0.706016
286,0.568944
287,0.591995
288,0.641415
289,0.653512
290,0.615963
291,0.711379
292,0.499562
293,0.578849
294,0.712665
295,0.581129
296,0.708400
297,0.664396
298,0.664346
299,0.550881
300,0.578145
301,0.714150
302,0.712482
303,0.618466
304,0.837009
305,0.703405
306,0.570591
307,0.614747
308,0.627262
309,0.524613
310,0.670556
311,0.640563
312,0.748574
313,0.567070
314,0.545755
315,0.637884
316,0.644281
317,0.432096
318,0.700108
319,0.804405
320,0.644802
321,0.694685
322,0.772902
323,0.564816
