step,loss
1,0.675914
2,0.668659
3,0.675610
4,0.673607
5,0.674320
6,0.671368
7,0.682986
8,0.672855
9,0.672587
10,0.668163
11,0.677306
12,0.672362
13,0.670631
14,0.668626
15,0.670839
16,0.668366
17,0.667676
18,0.672128
19,0.672778
20,0.671411
21,0.679934
22,0.665997
23,0.665216
24,0.663610
25,0.670084
26,0.664070
27,0.665885
28,0.685543
29,0.658502
30,0.670292
31,0.665509
32,0.659782
33,0.663206
34,0.658608
35,0.665434
36,0.668286
37,0.662659
38,0.661490
39,0.657022
40,0.650875
41,0.664722
42,0.656520
43,0.643462
44,0.667448
45,0.676132
46,0.657522
47,0.659787
48,0.643125
49,0.661866
50,0.668439
51,0.654689
52,0.650565
53,0.646963
54,0.663435
55,0.653406
56,0.663784
57,0.643553
58,0.664636
59,0.654526
60,0.632618
61,0.659177
62,0.649909
63,0.641899
64,0.630143
65,0.620382
66,0.628086
67,0.638320
68,0.645223
69,0.624929
70,0.601363
71,0.632752
72,0.626575
73,0.600699
74,0.599051
75,0.626754
76,0.605113
77,0.582569
78,0.649414
79,0.620998
80,0.626664
81,0.645200
82,0.578256
83,0.564117
84,0.598913
85,0.578140
86,0.601762
87,0.628555
88,0.591416
89,0.589258
90,0.602837
91,0.530987
92,0.599598
93,0.612385
94,0.612801
95,0.577988
96,0.582591
97,0.557298
98,0.479576
99,0.560851
100,0.561305
101,0.539708
102,0.511620
103,0.615937
104,0.544127
105,0.641873
106,0.671355
107,0.481902
108,0.525445
109,0.656676
110,0.592725
111,0.565166
112,0.580953
113,0.585934
114,0.559698
115,0.574185
116,0.555228
117,0.697060
118,0.570367
119,0.467719
120,0.520076
121,0.594809
122,0.649822
123,0.485272
124,0.561054
125,0.512526
126,0.564385
127,0.543274
128,0.464517
129,0.508042
130,0.414892
131,0.513565
132,0.574836
133,0.507136
134,0.541542
135,0.537033
136,0.480091
137,0.460614
138,0.598435
139,0.439499
140,0.461754
141,0.538496
142,0.607254
143,0.582784
144,0.439223
145,0.533089
146,0.629885
147,0.587966
148,0.677323
149,0.526529
150,0.524660
151,0.636920
152,0.499034
153,0.596381
154,0.605213
155,0.534207
156,0.613841
157,0.545375
158,0.540537
159,0.562804
160,0.494109
161,0.450164
162,0.606582
163,0.585248
164,0.592652
165,0.692326
166,0.477011
167,0.575292
168,0.524405
169,0.495041
170,0.476466
171,0.694717
172,0.582198
173,0.482689
174,0.493275
175,0.589509
176,0.635123
177,0.460990
178,0.502905
179,0.510775
180,0.548194
181,0.506406
182,0.800654
183,0.529473
184,0.459670
185,0.581306
186,0.598109
187,0.592246
188,0.569143
189,0.573964
190,0.525089
191,0.466973
192,0.552357
193,0.536875
194,0.448213
195,0.535752
196,0.504278
197,0.483810
198,0.658184
199,0.586117
200,0.456362
201,0.592122
202,0.587832
203,0.532182
204,0.485128
205,0.583621
206,0.574121
207,0.629164
208,0.506244
209,0.713052
210,0.455496
211,0.524147
212,0.457914
213,0.709012
214,0.542433
215,0.563073
216,0.557780
217,0.530185
218,0.467377
219,0.569925
220,0.496534
221,0.598343
222,0.598726
223,0.413007
224,0.533430
225,0.624848
226,0.597584
227,0.564855
228,0.526918
229,0.677688
230,0.443155
231,0.531517
232,0.559425
233,0.537716
234,0.415669
235,0.550814
236,0.559930
237,0.574755
238,0.430464
239,0.465341
240,0.565784
241,0.448077
242,0.570397
243,0.540867
