step,loss
1,0.669605
2,0.682285
3,0.666469
4,0.670832
5,0.668366
6,0.682846
7,0.668480
8,0.678693
9,0.680365
10,0.668273
11,0.672664
12,0.670087
13,0.683813
14,0.682194
15,0.670247
16,0.675391
17,0.674949
18,0.670234
19,0.667568
20,0.668751
21,0.680977
22,0.673657
23,0.671141
24,0.673607
25,0.682721
26,0.658511
27,0.674092
28,0.663177
29,0.674894
30,0.666728
31,0.670779
32,0.665900
33,0.673446
34,0.661881
35,0.673941
36,0.670309
37,0.674318
38,0.671301
39,0.680317
40,0.662512
41,0.685615
42,0.674327
43,0.675191
44,0.656753
45,0.653747
46,0.676578
47,0.664315
48,0.662820
49,0.673135
50,0.666995
51,0.667001
52,0.661111
53,0.677227
54,0.654501
55,0.681096
56,0.690201
57,0.663718
58,0.653316
59,0.665023
60,0.675624
61,0.668100
62,0.662860
63,0.658738
64,0.660778
65,0.659981
66,0.666440
67,0.662661
68,0.654427
69,0.672843
70,0.657990
71,0.679457
72,0.657072
73,0.653217
74,0.671988
75,0.665596
76,0.657407
77,0.647621
78,0.666380
79,0.653383
80,0.648270
81,0.658979
82,0.670462
83,0.652651
84,0.660443
85,0.646742
86,0.640036
87,0.666146
88,0.668715
89,0.675882
90,0.676593
91,0.655650
92,0.659440
93,0.666918
94,0.652652
95,0.652328
96,0.633934
97,0.686031
98,0.637596
99,0.688478
100,0.648526
101,0.656204
102,0.653625
103,0.640279
104,0.660907
105,0.654639
106,0.639156
107,0.643264
108,0.683760
109,0.651566
110,0.655267
111,0.665884
112,0.662065
113,0.654584
114,0.632795
115,0.686763
116,0.642482
117,0.655463
118,0.653995
119,0.638094
120,0.627500
121,0.654613
122,0.664642
123,0.647455
124,0.652872
125,0.647794
126,0.636809
127,0.636105
128,0.624480
129,0.618586
130,0.623351
131,0.617435
132,0.639906
133,0.650518
134,0.626966
135,0.655935
136,0.635385
137,0.642877
138,0.607794
139,0.604421
140,0.600034
141,0.596985
142,0.670001
143,0.619068
144,0.635193
145,0.604142
146,0.599511
147,0.623730
148,0.576447
149,0.614373
150,0.640878
151,0.600160
152,0.612331
153,0.583519
154,0.584868
155,0.647075
156,0.652891
157,0.636312
158,0.607388
159,0.624129
160,0.630930
161,0.652201
162,0.639664
163,0.558791
164,0.600975
165,0.600544
166,0.531806
167,0.590874
168,0.609481
169,0.581835
170,0.578122
171,0.585113
172,0.620982
173,0.642716
174,0.616503
175,0.640917
176,0.544281
177,0.541102
178,0.639908
179,0.539353
180,0.667853
181,0.518804
182,0.547637
183,0.620896
184,0.580603
185,0.667363
186,0.559610
187,0.574876
188,0.652613
189,0.584938
190,0.572911
191,0.574492
192,0.594312
193,0.556790
194,0.561412
195,0.532110
196,0.432559
197,0.535294
198,0.589873
199,0.535389
200,0.590819
201,0.500536
202,0.582251
203,0.500557
204,0.526164
205,0.542634
206,0.690796
207,0.553881
208,0.537054
209,0.672453
210,0.612439
211,0.539401
212,0.802463
213,0.513025
214,0.454542
215,0.471260
216,0.582932
217,0.736514
218,0.576467
219,0.497174
220,0.688344
221,0.500637
222,0.630477
223,0.510778
224,0.654049
225,0.627607
226,0.545497
227,0.579812
228,0.540595
229,0.646357
230,0.504365
231,0.495903
232,0.616133
233,0.599869
234,0.794188
235,0.533583
236,0.607674
237,0.444613
238,0.491793
239,0.582802
240,0.458428
241,0.502880
242,0.687338
243,0.539589
244,0.760265
245,0.498899
246,0.473169
247,0.652196
248,0.471432
249,0.416045
250,0.609413
251,0.487215
252,0.643596
253,0.549029
254,0.537633
255,0.402427
256,0.528632
257,0.457795
258,0.559347
259,0.423395
260,0.407686
261,0.486022
262,0.541109
263,0.657847
264,0.493845
265,0.452035
266,0.564258
267,0.442950
268,0.641481
269,0.503748
270,0.571746
271,0.460390
272,0.500975
273,0.456870
274,0.466195
275,0.539911
276,0.659333
277,0.484319
278,0.396545
279,0.499997
280,0.424368
281,0.539624
282,0.537752
283,0.517371
284,0.697266
